index,inputDomain,finalUrl,statusCode,adLikely,matchedSelectorCount
1,google.com,https://www.google.com/,200,False,0
2,gtld-servers.net,,,False,0
3,microsoft.com,https://www.microsoft.com/,200,True,1
4,googleapis.com,https://googleapis.com/,404,False,0
5,facebook.com,https://mbasic.facebook.com/,200,False,0
6,mail.ru,,,False,0
7,cloudflare.com,https://www.cloudflare.com/,200,False,0
8,apple.com,https://www.apple.com/,200,False,0
9,youtube.com,https://www.youtube.com/,200,False,0
10,amazonaws.com,,,False,0
